arrondissement,date,total_case
Ahuntsic–Cartierville,2020-03-30,54
Anjou,2020-03-30,9
Baie-D'Urfé,2020-03-30,2
Beaconsfield,2020-03-30,10
Côte-des-Neiges–Notre-Dame-de-Grâce,2020-03-30,161
Côte-Saint-Luc,2020-03-30,107
Dollard-des-Ormeaux,2020-03-30,17
Dorval,2020-03-30,7
Hampstead,2020-03-30,18
Kirkland,2020-03-30,7
Lachine,2020-03-30,19
LaSalle,2020-03-30,66
L'Île-Bizard–Sainte-Geneviève,2020-03-30,5
Mercier–Hochelaga-Maisonneuve,2020-03-30,40
Montréal-Est,2020-03-30,1
Montréal-Nord,2020-03-30,26
Montréal-Ouest,2020-03-30,3
Mont-Royal,2020-03-30,18
Outremont,2020-03-30,56
Pierrefonds-Roxboro,2020-03-30,26
Plateau-Mont-Royal,2020-03-30,67
Pointe-Claire,2020-03-30,11
Rivière-des-Prairies-Pointe-aux-Trembles,2020-03-30,41
Rosemont–La Petite Patrie,2020-03-30,80
Sainte-Anne-de-Bellevue,2020-03-30,2
Saint-Laurent,2020-03-30,40
Saint-Léonard,2020-03-30,17
Senneville,2020-03-30,0
Sud-Ouest,2020-03-30,46
Verdun,2020-03-30,36
Ville-Marie,2020-03-30,67
Villeray-Saint-Michel-Parc-Extension,2020-03-30,41
Westmount,2020-03-30,25
Territory to be confirmed,2020-03-30,487
Ahuntsic–Cartierville,2020-03-31,66
Anjou,2020-03-31,14
Baie-D'Urfé,2020-03-31,2
Beaconsfield,2020-03-31,9
Côte-des-Neiges–Notre-Dame-de-Grâce,2020-03-31,182
Côte-Saint-Luc,2020-03-31,182
Dollard-des-Ormeaux,2020-03-31,18
Dorval,2020-03-31,10
Hampstead,2020-03-31,20
Kirkland,2020-03-31,7
Lachine,2020-03-31,22
LaSalle,2020-03-31,78
L'Île-Bizard–Sainte-Geneviève,2020-03-31,7
Mercier–Hochelaga-Maisonneuve,2020-03-31,62
Montréal-Est,2020-03-31,1
Montréal-Nord,2020-03-31,33
Montréal-Ouest,2020-03-31,3
Mont-Royal,2020-03-31,24
Outremont,2020-03-31,61
Pierrefonds-Roxboro,2020-03-31,27
Plateau-Mont-Royal,2020-03-31,80
Pointe-Claire,2020-03-31,11
Rivière-des-Prairies-Pointe-aux-Trembles,2020-03-31,51
Rosemont–La Petite Patrie,2020-03-31,97
Sainte-Anne-de-Bellevue,2020-03-31,2
Saint-Laurent,2020-03-31,49
Saint-Léonard,2020-03-31,20
Senneville,2020-03-31,0
Sud-Ouest,2020-03-31,56
Verdun,2020-03-31,43
Ville-Marie,2020-03-31,78
Villeray-Saint-Michel-Parc-Extension,2020-03-31,56
Westmount,2020-03-31,29
Territory to be confirmed,2020-03-31,653
Ahuntsic–Cartierville,2020-04-01,98
Anjou,2020-04-01,19
Baie-D'Urfé,2020-04-01,5
Beaconsfield,2020-04-01,10
Côte-des-Neiges–Notre-Dame-de-Grâce,2020-04-01,253
Côte-Saint-Luc,2020-04-01,147
Dollard-des-Ormeaux,2020-04-01,28
Dorval,2020-04-01,16
Hampstead,2020-04-01,22
Kirkland,2020-04-01,8
Lachine,2020-04-01,32
LaSalle,2020-04-01,119
L'Île-Bizard–Sainte-Geneviève,2020-04-01,9
Mercier–Hochelaga-Maisonneuve,2020-04-01,91
Montréal-Est,2020-04-01,5
Montréal-Nord,2020-04-01,50
Montréal-Ouest,2020-04-01,5
Mont-Royal,2020-04-01,31
Outremont,2020-04-01,88
Pierrefonds-Roxboro,2020-04-01,39
Plateau-Mont-Royal,2020-04-01,120
Pointe-Claire,2020-04-01,14
Rivière-des-Prairies-Pointe-aux-Trembles,2020-04-01,73
Rosemont–La Petite Patrie,2020-04-01,133
Sainte-Anne-de-Bellevue,2020-04-01,5
Saint-Laurent,2020-04-01,81
Saint-Léonard,2020-04-01,37
Senneville,2020-04-01,0
Sud-Ouest,2020-04-01,83
Verdun,2020-04-01,77
Ville-Marie,2020-04-01,114
Villeray-Saint-Michel-Parc-Extension,2020-04-01,88
Westmount,2020-04-01,33
Territory to be confirmed,2020-04-01,715
Ahuntsic–Cartierville,2020-04-02,?
Anjou,2020-04-02,?
Baie-D'Urfé,2020-04-02,?
Beaconsfield,2020-04-02,?
Côte-des-Neiges–Notre-Dame-de-Grâce,2020-04-02,?
Côte-Saint-Luc,2020-04-02,?
Dollard-des-Ormeaux,2020-04-02,?
Dorval,2020-04-02,?
Hampstead,2020-04-02,?
Kirkland,2020-04-02,?
Lachine,2020-04-02,?
LaSalle,2020-04-02,?
L'Île-Bizard–Sainte-Geneviève,2020-04-02,?
Mercier–Hochelaga-Maisonneuve,2020-04-02,?
Montréal-Est,2020-04-02,?
Montréal-Nord,2020-04-02,?
Montréal-Ouest,2020-04-02,?
Mont-Royal,2020-04-02,?
Outremont,2020-04-02,?
Pierrefonds-Roxboro,2020-04-02,?
Plateau-Mont-Royal,2020-04-02,?
Pointe-Claire,2020-04-02,?
Rivière-des-Prairies-Pointe-aux-Trembles,2020-04-02,?
Rosemont–La Petite Patrie,2020-04-02,?
Sainte-Anne-de-Bellevue,2020-04-02,?
Saint-Laurent,2020-04-02,?
Saint-Léonard,2020-04-02,?
Senneville,2020-04-02,?
Sud-Ouest,2020-04-02,?
Verdun,2020-04-02,?
Ville-Marie,2020-04-02,?
Villeray-Saint-Michel-Parc-Extension,2020-04-02,?
Westmount,2020-04-02,?
Territory to be confirmed,2020-04-02,?
Ahuntsic–Cartierville,2020-04-03,106
Anjou,2020-04-03,19
Baie-D'Urfé,2020-04-03,5
Beaconsfield,2020-04-03,10
Côte-des-Neiges–Notre-Dame-de-Grâce,2020-04-03,281
Côte-Saint-Luc,2020-04-03,154
